Consistency Check Warnings (Real Issues + Faulty Data)
============================================================

• [RSI Mean Reversion Selective] ⚠️  REAL ISSUES: Detected 138 suspicious price jumps > 15% (possible missing corporate actions)
•   Trade #62 (PLTR) @ 2026-05-07 23:50:00: +53.45% ($88.45 → $135.73) [synthetic_jump]
•   Trade #63 (DNA) @ 2026-05-07 23:50:00: -93.62% ($135.73 → $8.66) [synthetic_jump]
•   Trade #64 (CRSP) @ 2026-05-07 23:50:00: +507.27% ($8.66 → $52.60) [synthetic_jump]
•   Trade #65 (BEAM) @ 2026-05-07 23:50:00: -40.87% ($52.60 → $31.10) [synthetic_jump]
•   Trade #66 (NEM) @ 2026-05-07 23:50:00: +266.14% ($31.10 → $113.87) [synthetic_jump]
•   Trade #67 (MP) @ 2026-05-07 23:50:00: -37.54% ($113.87 → $71.13) [synthetic_jump]
•   Trade #68 (KTOS) @ 2026-05-07 23:50:00: -19.54% ($71.13 → $57.23) [synthetic_jump]
•   Trade #69 (LAC) @ 2026-05-07 23:50:00: -90.23% ($57.23 → $5.59) [synthetic_jump]
•   Trade #70 (AES) @ 2026-05-07 23:50:00: +155.58% ($5.59 → $14.29) [synthetic_jump]
•   Trade #71 (FCX) @ 2026-05-07 23:50:00: +321.15% ($14.29 → $60.18) [synthetic_jump]
•   Trade #72 (ENPH) @ 2026-05-07 23:50:00: -41.43% ($60.18 → $35.25) [synthetic_jump]
•   Trade #73 (SNOW) @ 2026-05-07 23:50:00: +330.68% ($35.25 → $151.82) [synthetic_jump]
•   Trade #74 (SEDG) @ 2026-05-07 23:50:00: -74.61% ($151.82 → $38.55) [synthetic_jump]
•   Trade #75 (APP) @ 2026-05-07 23:50:00: +1170.96% ($38.55 → $489.95) [synthetic_jump]
•   Trade #76 (OPEN) @ 2026-05-07 23:50:00: -98.94% ($489.95 → $5.20) [synthetic_jump]
•   Trade #77 (GREE) @ 2026-05-07 23:50:00: -77.71% ($5.20 → $1.16) [synthetic_jump]
•   Trade #78 (HUBS) @ 2026-05-07 23:50:00: +16970.31% ($1.16 → $198.02) [synthetic_jump]
•   Trade #79 (CAN) @ 2026-05-07 23:50:00: -99.74% ($198.02 → $0.51) [synthetic_jump]
•   Trade #80 (CTRA) @ 2026-05-07 23:50:00: +6230.13% ($0.51 → $32.49) [synthetic_jump]
•   Trade #82 (F) @ 2026-05-07 23:50:00: -66.09% ($35.80 → $12.14) [synthetic_jump]
